İL,İL_KATEGORİSİ,KATEGORİ_GRUP,KATEGORİ_KATSAYI,NÜFUS,TOPLAM_PUAN,TOPLAM_KATSAYI,UYELIK_HAM_PUAN,UYELIK_FINAL_PUAN,UYELIK_AGIRLIK,DANISMA_HAM_PUAN,DANISMA_FINAL_PUAN,DANISMA_AGIRLIK,RAMAZAN_HAM_PUAN,RAMAZAN_FINAL_PUAN,RAMAZAN_AGIRLIK,BAYRAK_HAM_PUAN,BAYRAK_FINAL_PUAN,BAYRAK_AGIRLIK,GENEL_SIRALAMA
AMASYA,Küçük İl,Küçük İl,1.3,342378,36.15,10.0,3.0,3.0,40.0,30.0,30.0,30.0,3.2,3.15,20.0,0,0,10.0,36
ARDAHAN,Küçük İl,Küçük İl,1.3,91354,36.01,10.0,9.0,9.0,40.0,20.5,20.5,30.0,6.5,6.51,20.0,0,0,10.0,37
AĞRI,Küçük İl,Küçük İl,1.3,499801,35.84,10.0,9.0,9.0,40.0,20.5,20.5,30.0,6.3,6.34,20.0,0,0,10.0,38
KIRKLARELİ,Küçük İl,Küçük İl,1.3,369347,35.8,10.0,13.0,13.0,40.0,19.5,19.5,30.0,3.3,3.3,20.0,0,0,10.0,39
KOCAELİ,Büyük İl,Büyük İl,1.08,2079072,35.52,10.0,11.0,11.0,40.0,17.8,17.78,30.0,6.7,6.74,20.0,0,0,10.0,40
AYDIN,Orta İl,Orta İl,1.15,1165943,34.83,10.0,7.0,7.0,40.0,20.4,20.4,30.0,7.4,7.43,20.0,0,0,10.0,41
TUNCELİ,Küçük İl,Küçük İl,1.3,84366,34.5,10.0,0.0,0.0,40.0,28.5,28.5,30.0,6.0,6.0,20.0,0,0,10.0,42
KÜTAHYA,Orta İl,Orta İl,1.15,580701,34.46,10.0,0.0,0.0,40.0,27.9,27.9,30.0,6.6,6.56,20.0,0,0,10.0,43
EDİRNE,Küçük İl,Küçük İl,1.3,414714,34.32,10.0,9.0,9.0,40.0,19.5,19.5,30.0,5.8,5.82,20.0,0,0,10.0,44
MUŞ,Küçük İl,Küçük İl,1.3,399202,34.31,10.0,9.0,9.0,40.0,22.0,22.0,30.0,3.3,3.31,20.0,0,0,10.0,45
KIRIKKALE,Küçük İl,Küçük İl,1.3,277046,34.19,10.0,6.0,6.0,40.0,19.5,19.5,30.0,8.7,8.69,20.0,0,0,10.0,46
AKSARAY,Küçük İl,Küçük İl,1.3,439474,33.45,10.0,0.0,0.0,40.0,28.5,28.5,30.0,5.0,4.95,20.0,0,0,10.0,47
MERSİN,Büyük İl,Büyük İl,1.08,1916432,33.17,10.0,13.0,13.0,40.0,14.8,14.78,30.0,5.4,5.39,20.0,0,0,10.0,48
YALOVA,Küçük İl,Küçük İl,1.3,296333,33.04,10.0,6.0,6.0,40.0,22.5,22.5,30.0,4.5,4.54,20.0,0,0,10.0,49
TEKİRDAĞ,Orta İl,Orta İl,1.15,1142451,32.97,10.0,4.0,4.0,40.0,24.9,24.9,30.0,4.1,4.07,20.0,0,0,10.0,50
KONYA,Büyük İl,Büyük İl,1.08,2330024,32.46,10.0,4.0,4.0,40.0,22.5,22.5,30.0,6.0,5.96,20.0,0,0,10.0,51
KAHRAMANMARAŞ,Orta İl,Orta İl,1.15,1177436,31.18,10.0,4.0,4.0,40.0,24.0,24.0,30.0,3.2,3.18,20.0,0,0,10.0,52
GİRESUN,Küçük İl,Küçük İl,1.3,450862,29.86,10.0,0.0,0.0,40.0,17.5,17.5,30.0,12.4,12.36,20.0,0,0,10.0,53
